name,state,lat,lng,sector_label
Bryant & Stratton College-Bayshore,Wisconsin,43.118941,-87.9154,For-Profit
Bryant & Stratton College-Buffalo,New York,42.886492,-78.873296,For-Profit
Bryant & Stratton College-Cleveland,Ohio,41.503009,-81.666136,For-Profit
Bryant & Stratton College-Greece,New York,43.240547,-77.69559,For-Profit
Bryant & Stratton College-Hampton,Virginia,37.044229,-76.39185,For-Profit
Bryant & Stratton College-Online,New York,42.790174,-78.770363,For-Profit
Bryant & Stratton College-Parma,Ohio,41.404607,-81.781757,For-Profit
Bryant & Stratton College-Racine,Wisconsin,42.717969,-87.865106,For-Profit
Bryant & Stratton College-Richmond,Virginia,37.45955,-77.543378,For-Profit
Bryant & Stratton College-Solon,Ohio,41.390012,-81.445939,For-Profit
Bryant & Stratton College-Southtowns,New York,42.790162,-78.768896,For-Profit
Bryant & Stratton College-Syracuse North,New York,43.149337,-76.230807,For-Profit
Bryant & Stratton College-Virginia Beach,Virginia,36.827826,-76.13819,For-Profit
Bryant & Stratton College-Wauwatosa,Wisconsin,43.043214999999996,-88.050983,For-Profit
Bryant University,Rhode Island,41.920092,-71.539547,Private
Bryn Athyn College of the New Church,Pennsylvania,40.134393,-75.060808,Private
Bryn Mawr College,Pennsylvania,40.02736,-75.313223,Private
Bucknell University,Pennsylvania,40.954317,-76.882616,Private
Buena Vista University,Iowa,42.642255,-95.208529,Private
Burrell College of Osteopathic Medicine,New Mexico,32.278068,-106.737787,For-Profit
Butler University,Indiana,39.8374,-86.172167,Private
Byzantine Catholic Seminary of Saints Cyril and Methodius,Pennsylvania,40.484409,-80.015825,Private
Cabarrus College of Health Sciences,North Carolina,35.440038,-80.600824,Private
Cabrini University,Pennsylvania,40.056355,-75.375263,Private
Cairn University-Langhorne,Pennsylvania,40.165809,-74.909509,Private
Caldwell University,New Jersey,40.832753,-74.272571,Private
California Aeronautical University,California,35.434905,-119.049264,For-Profit
California Baptist University,California,33.929321,-117.425619,Private
California Christian College,California,36.749366,-119.711123,Private
California College of the Arts,California,37.767485,-122.399451,Private
California College San Diego,California,33.138303,-117.160658,Private
California College San Diego,California,32.835221,-117.166966,Private
California Graduate School of Theology,California,33.774619,-117.936119,Private
California Health Sciences University,California,36.832466,-119.701977,For-Profit
California Institute of Advanced Management,California,34.082467,-118.15055,Private
California Institute of Integral Studies,California,37.774924,-122.416102,Private
California Institute of Technology,California,34.137349,-118.125878,Private
California Institute of the Arts,California,34.39327,-118.566837,Private
California Intercontinental University,California,33.696413,-117.850961,For-Profit
California International Business University,California,32.718063,-117.168019,Private
California Jazz Conservatory,California,37.871235,-122.268878,Private
California Lutheran University,California,34.224566,-118.878924,Private
California Miramar University,California,32.77942,-117.11851,For-Profit
California Polytechnic State University-San Luis Obispo,California,35.299513,-120.65731100000001,Public
California State Polytechnic University-Pomona,California,34.057912,-117.821476,Public
California State University Maritime Academy,California,38.069061,-122.231551,Public
California State University-Bakersfield,California,35.350005,-119.104711,Public
California State University-Channel Islands,California,34.162949,-119.04356,Public
California State University-Chico,California,39.729712,-121.844859,Public
California State University-Dominguez Hills,California,33.864766,-118.255917,Public
California State University-East Bay,California,37.657694,-122.054135,Public
California State University-Fresno,California,36.811154,-119.744569,Public
California State University-Fullerton,California,33.881506,-117.885446,Public
California State University-Long Beach,California,33.782818,-118.11204,Public
California State University-Los Angeles,California,34.066927,-118.168965,Public
California State University-Monterey Bay,California,36.652397,-121.796178,Public
California State University-Northridge,California,34.240126,-118.529319,Public
California State University-Sacramento,California,38.559415,-121.423549,Public
California State University-San Bernardino,California,34.182622,-117.323801,Public
California State University-San Marcos,California,33.130569,-117.159013,Public
California State University-Stanislaus,California,37.52577,-120.852511,Public
California University of Management and Sciences,California,33.848301,-117.95846,Private
California University of Pennsylvania,Pennsylvania,40.064964,-79.88679,Public
California Western School of Law,California,32.722192,-117.162416,Private
